tactic_id,database_order,guide_heading_number,source_order,tactic_name,tactic_category,best_for,avoid_for,core_strategy,visual_transformation,required_user_inputs,optional_user_inputs,standalone_json_prompt,customer_facing_prompt,negative_prompt,productpinion_test_hypothesis,what_to_measure,expected_ctr_impact,difficulty,internal_notes,source_url
MI-014,14,14,14,TikTok It,Social proof,viral/trending consumer products,products without real social traction or where trendiness is irrelevant,Tap into trend recognition and FOMO.,Add a clean viral/social-proof badge or callout that communicates the product is trending.,social_proof_claim,platform_reference; badge_color,"{""task"":""edit_product_main_image"",""tactic"":""TikTok It"",""input_image"":""{{customer_product_image}}"",""objective"":""Tap into trend recognition and FOMO."",""required_user_inputs"":[""social_proof_claim""],""optional_user_inputs"":[""platform_reference"",""badge_color""],""edit_instructions"":{""primary_visual_change"":""Add a clean viral/social-proof badge or callout that communicates the product is trending."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""false virality claim"",""cheap-looking sticker"",""too much copy""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""TikTok It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Tap into trend recognition and FOMO."",
  ""required_user_inputs"": [
    ""social_proof_claim""
  ],
  ""optional_user_inputs"": [
    ""platform_reference"",
    ""badge_color""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Add a clean viral/social-proof badge or callout that communicates the product is trending."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""false virality claim"",
    ""cheap-looking sticker"",
    ""too much copy""
  ]
}",false virality claim; cheap-looking sticker; too much copy,A trending/social-proof callout will increase curiosity and click preference for trend-sensitive categories.,"CTR preference, curiosity, social proof believability",Medium,Low,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
MI-015,15,15,15,Dead Pixel Space It,Unused-space callout,"products with lids, caps, blank panels, unused visible surfaces",products with no readable dead space or premium minimal packaging,Turn unused surface area into a high-impact benefit callout.,"Add one short benefit, seal, or claim to the blank cap/lid/panel area already visible in the image.",benefit_message,surface_location; typography_style,"{""task"":""edit_product_main_image"",""tactic"":""Dead Pixel Space It"",""input_image"":""{{customer_product_image}}"",""objective"":""Turn unused surface area into a high-impact benefit callout."",""required_user_inputs"":[""benefit_message""],""optional_user_inputs"":[""surface_location"",""typography_style""],""edit_instructions"":{""primary_visual_change"":""Add one short benefit, seal, or claim to the blank cap/lid/panel area already visible in the image."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""crowded label"",""tiny unreadable text"",""fake certifications""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Dead Pixel Space It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Turn unused surface area into a high-impact benefit callout."",
  ""required_user_inputs"": [
    ""benefit_message""
  ],
  ""optional_user_inputs"": [
    ""surface_location"",
    ""typography_style""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Add one short benefit, seal, or claim to the blank cap/lid/panel area already visible in the image."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""crowded label"",
    ""tiny unreadable text"",
    ""fake certifications""
  ]
}",crowded label; tiny unreadable text; fake certifications,Using dead space for a benefit will improve message recall without adding new objects.,"CTR preference, benefit recall, visual clarity",High,Low,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
MI-016,16,16,16,Expand Explode It,Value inventory display,"kits, tool sets, storage systems, makeup sets, multi-component products",single-piece products or sets where exact included components are uncertain,Make the full value of the offer visible at a glance.,Separate and arrange all components around the main product in an exploded but organized view.,component_list,layout_style; hero_component,"{""task"":""edit_product_main_image"",""tactic"":""Expand Explode It"",""input_image"":""{{customer_product_image}}"",""objective"":""Make the full value of the offer visible at a glance."",""required_user_inputs"":[""component_list""],""optional_user_inputs"":[""layout_style"",""hero_component""],""edit_instructions"":{""primary_visual_change"":""Separate and arrange all components around the main product in an exploded but organized view."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""missing components"",""duplicate components"",""chaotic layout""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Expand Explode It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Make the full value of the offer visible at a glance."",
  ""required_user_inputs"": [
    ""component_list""
  ],
  ""optional_user_inputs"": [
    ""layout_style"",
    ""hero_component""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Separate and arrange all components around the main product in an exploded but organized view."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""missing components"",
    ""duplicate components"",
    ""chaotic layout""
  ]
}",missing components; duplicate components; chaotic layout,An exploded component view will increase perceived value and clarity versus showing only the closed form.,"CTR preference, perceived value, completeness clarity",High,High,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
MI-017,17,17,17,Light It,Active feature visualization,"LED, illuminated, electronic, nightlight, toys, devices",products without a light function,Show the active feature in the image rather than the product in off mode.,Turn on or render the product lighting with realistic glow and reflections.,light_color_or_mode,ambient_light_level; glow_intensity,"{""task"":""edit_product_main_image"",""tactic"":""Light It"",""input_image"":""{{customer_product_image}}"",""objective"":""Show the active feature in the image rather than the product in off mode."",""required_user_inputs"":[""light_color_or_mode""],""optional_user_inputs"":[""ambient_light_level"",""glow_intensity""],""edit_instructions"":{""primary_visual_change"":""Turn on or render the product lighting with realistic glow and reflections."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""unrealistic brightness"",""changing product hardware"",""dark background dependence""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Light It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Show the active feature in the image rather than the product in off mode."",
  ""required_user_inputs"": [
    ""light_color_or_mode""
  ],
  ""optional_user_inputs"": [
    ""ambient_light_level"",
    ""glow_intensity""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Turn on or render the product lighting with realistic glow and reflections."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""unrealistic brightness"",
    ""changing product hardware"",
    ""dark background dependence""
  ]
}",unrealistic brightness; changing product hardware; dark background dependence,Showing the product lit up will improve feature comprehension and visual engagement.,"CTR preference, feature clarity, excitement",High,Medium,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
MI-018,18,18,18,Lifestyle It,In-context aspiration,"home, pet, decor, kitchen, indoor/outdoor use products",tiny products that would disappear in a scene or products needing exact spec inspection,Help shoppers picture the product in its real environment.,"Place the product in a clean, aspirational lifestyle setting while keeping it the obvious main subject.",use_environment,scene_style; props_to_include,"{""task"":""edit_product_main_image"",""tactic"":""Lifestyle It"",""input_image"":""{{customer_product_image}}"",""objective"":""Help shoppers picture the product in its real environment."",""required_user_inputs"":[""use_environment""],""optional_user_inputs"":[""scene_style"",""props_to_include""],""edit_instructions"":{""primary_visual_change"":""Place the product in a clean, aspirational lifestyle setting while keeping it the obvious main subject."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""busy room"",""product too small"",""unrelated props""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Lifestyle It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Help shoppers picture the product in its real environment."",
  ""required_user_inputs"": [
    ""use_environment""
  ],
  ""optional_user_inputs"": [
    ""scene_style"",
    ""props_to_include""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Place the product in a clean, aspirational lifestyle setting while keeping it the obvious main subject."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""busy room"",
    ""product too small"",
    ""unrelated props""
  ]
}",busy room; product too small; unrelated props,A tasteful lifestyle scene will improve visualization and preference versus an isolated shot.,"CTR preference, use-case clarity, aesthetic appeal",Medium,High,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
MI-019,19,18,19,Petify It,Relevant user/beneficiary,"pet products, pet supplements, pet accessories",products where pet breed choice could polarize or misrepresent use,Show the specific animal beneficiary next to or using the product.,"Add a relevant dog/cat/pet beside the product, ideally matching the target use case or ailment.",pet_type,breed; pet_pose; ailment_context,"{""task"":""edit_product_main_image"",""tactic"":""Petify It"",""input_image"":""{{customer_product_image}}"",""objective"":""Show the specific animal beneficiary next to or using the product."",""required_user_inputs"":[""pet_type""],""optional_user_inputs"":[""breed"",""pet_pose"",""ailment_context""],""edit_instructions"":{""primary_visual_change"":""Add a relevant dog/cat/pet beside the product, ideally matching the target use case or ailment."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""polarizing breeds"",""distressed animal"",""product hidden""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Petify It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Show the specific animal beneficiary next to or using the product."",
  ""required_user_inputs"": [
    ""pet_type""
  ],
  ""optional_user_inputs"": [
    ""breed"",
    ""pet_pose"",
    ""ailment_context""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Add a relevant dog/cat/pet beside the product, ideally matching the target use case or ailment."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""polarizing breeds"",
    ""distressed animal"",
    ""product hidden""
  ]
}",polarizing breeds; distressed animal; product hidden,Including the relevant pet will improve shopper self-identification and use clarity.,"CTR preference, relevance, emotional response",High,Medium,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
MI-020,20,19,20,Splash It,Flavor and refreshment cue,"liquids, drinks, flavor-led consumables",dry products or products where splash implies leakage,"Communicate flavor, freshness, and liquid energy visually.",Add a controlled splash behind or around the product in a color/flavor style that matches the product.,flavor_or_liquid_type,splash_color; intensity,"{""task"":""edit_product_main_image"",""tactic"":""Splash It"",""input_image"":""{{customer_product_image}}"",""objective"":""Communicate flavor, freshness, and liquid energy visually."",""required_user_inputs"":[""flavor_or_liquid_type""],""optional_user_inputs"":[""splash_color"",""intensity""],""edit_instructions"":{""primary_visual_change"":""Add a controlled splash behind or around the product in a color/flavor style that matches the product."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""messy spill"",""covering label"",""unrealistic liquid behavior""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Splash It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Communicate flavor, freshness, and liquid energy visually."",
  ""required_user_inputs"": [
    ""flavor_or_liquid_type""
  ],
  ""optional_user_inputs"": [
    ""splash_color"",
    ""intensity""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Add a controlled splash behind or around the product in a color/flavor style that matches the product."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""messy spill"",
    ""covering label"",
    ""unrealistic liquid behavior""
  ]
}",messy spill; covering label; unrealistic liquid behavior,A flavor-matched splash will increase appetite appeal and attention.,"CTR preference, flavor clarity, refreshment rating",Medium,Medium,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
MI-021,21,20,21,Spill It,Liquid transparency,"serums, peptides, oils, liquids","products where spill suggests damage, leakage, or waste",Use a controlled spill to show the liquid’s appearance and occupy more visual space.,Add a tasteful spilled liquid shape behind or beside the bottle/box.,liquid_color_texture,spill_shape; spill_location,"{""task"":""edit_product_main_image"",""tactic"":""Spill It"",""input_image"":""{{customer_product_image}}"",""objective"":""Use a controlled spill to show the liquid\u2019s appearance and occupy more visual space."",""required_user_inputs"":[""liquid_color_texture""],""optional_user_inputs"":[""spill_shape"",""spill_location""],""edit_instructions"":{""primary_visual_change"":""Add a tasteful spilled liquid shape behind or beside the bottle/box."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""messy accident look"",""label obstruction"",""excessive amount""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Spill It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Use a controlled spill to show the liquid\u2019s appearance and occupy more visual space."",
  ""required_user_inputs"": [
    ""liquid_color_texture""
  ],
  ""optional_user_inputs"": [
    ""spill_shape"",
    ""spill_location""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Add a tasteful spilled liquid shape behind or beside the bottle/box."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""messy accident look"",
    ""label obstruction"",
    ""excessive amount""
  ]
}",messy accident look; label obstruction; excessive amount,Showing a controlled spill will improve texture transparency and visual real estate.,"CTR preference, product transparency, standout",Medium,Medium,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
MI-022,22,21,22,iPhone It,Scale reference,"bags, organizers, pockets, compartments, storage products",products where phone scale is irrelevant or misleading,Use a universally understood object to show size and capacity.,Show a hand placing an iPhone-sized smartphone into the product pocket or compartment.,storage_area_to_demonstrate,phone_model_size; hand_pose,"{""task"":""edit_product_main_image"",""tactic"":""iPhone It"",""input_image"":""{{customer_product_image}}"",""objective"":""Use a universally understood object to show size and capacity."",""required_user_inputs"":[""storage_area_to_demonstrate""],""optional_user_inputs"":[""phone_model_size"",""hand_pose""],""edit_instructions"":{""primary_visual_change"":""Show a hand placing an iPhone-sized smartphone into the product pocket or compartment."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""brand-specific phone logo"",""distorted scale"",""blocked product details""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""iPhone It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Use a universally understood object to show size and capacity."",
  ""required_user_inputs"": [
    ""storage_area_to_demonstrate""
  ],
  ""optional_user_inputs"": [
    ""phone_model_size"",
    ""hand_pose""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Show a hand placing an iPhone-sized smartphone into the product pocket or compartment."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""brand-specific phone logo"",
    ""distorted scale"",
    ""blocked product details""
  ]
}",brand-specific phone logo; distorted scale; blocked product details,A familiar phone scale reference will improve size comprehension and confidence.,"CTR preference, scale clarity, use-case confidence",High,Medium,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
MI-023,23,22,23,Clone It,Variant visualization,"apparel, color variants, wearable products",products where variants are not actually available,Show multiple colorways together instead of relying on hidden swatches.,Duplicate the product/model view into multiple available color variants in one hero composition.,variant_colors,model_pose; number_of_variants,"{""task"":""edit_product_main_image"",""tactic"":""Clone It"",""input_image"":""{{customer_product_image}}"",""objective"":""Show multiple colorways together instead of relying on hidden swatches."",""required_user_inputs"":[""variant_colors""],""optional_user_inputs"":[""model_pose"",""number_of_variants""],""edit_instructions"":{""primary_visual_change"":""Duplicate the product/model view into multiple available color variants in one hero composition."",""preserve_product_identity"":true,""preserve_branding_and_label_accuracy"":true,""keep_product_as_main_subject"":true,""composition"":""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",""background"":""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",""lighting"":""Use polished commercial product lighting with realistic shadows and reflections."",""output_goal"":""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""},""avoid"":[""unavailable colors"",""clutter"",""inconsistent fit""]}","Use the attached customer product image as the source image. Apply the following API-agnostic JSON instructions to create a new main image concept. Preserve the product identity, label accuracy, and the core offer unless the JSON explicitly asks for a visual merchandising addition.

{
  ""task"": ""edit_product_main_image"",
  ""tactic"": ""Clone It"",
  ""input_image"": ""{{customer_product_image}}"",
  ""objective"": ""Show multiple colorways together instead of relying on hidden swatches."",
  ""required_user_inputs"": [
    ""variant_colors""
  ],
  ""optional_user_inputs"": [
    ""model_pose"",
    ""number_of_variants""
  ],
  ""edit_instructions"": {
    ""primary_visual_change"": ""Duplicate the product/model view into multiple available color variants in one hero composition."",
    ""preserve_product_identity"": true,
    ""preserve_branding_and_label_accuracy"": true,
    ""keep_product_as_main_subject"": true,
    ""composition"": ""Create a clean Amazon-style hero image with the product large, clear, and visually dominant."",
    ""background"": ""Use a clean studio-style background unless the tactic specifically calls for a lifestyle or contextual scene."",
    ""lighting"": ""Use polished commercial product lighting with realistic shadows and reflections."",
    ""output_goal"": ""Generate a scroll-stopping main image concept that applies this tactic while retaining the original product identity.""
  },
  ""avoid"": [
    ""unavailable colors"",
    ""clutter"",
    ""inconsistent fit""
  ]
}",unavailable colors; clutter; inconsistent fit,Showing multiple variants together will improve color awareness and click preference.,"CTR preference, variant awareness, perceived selection",High,High,Internal ProductPinion prompt-library row. No Amazon compliance gate included per current scope.,https://docs.google.com/document/d/19J3Mfz2ZYdrxMB_e0eKrdLAeGSWMmxC3RJ0U7QGneW8/edit?tab=t.0#heading=h.jaiiudrnl2vz
